Traces                ,Prediction Accuracy ,MPKI  ,Heartbeat IPC , Simulation Time (in Sec)
400.perlbench-41B     ,98.2211            ,3.7365 ,0.624191         , 49  
416.gamess-875B       ,98.4919            ,1.5689 ,1.42241          , 40  
444.namd-23B          ,95.5803            ,1.5489 ,1.93106          , 33  
453.povray-800B       ,99.2508            ,1.1171 ,0.9252           , 47  
454.calculix-104B     ,98.9918            ,0.9084 ,2.11989          , 28  
600.perlbench_s-1273B ,99.1075            ,1.2011 ,1.59975          , 35  
603.bwaves_s-3699B    ,99.7352            ,0.3837 ,1.58601          , 23  
603.bwaves_s-5359B    ,99.7222            ,0.4005 ,1.57894          , 23  
607.cactuBSSN_s-4248B ,99.9636            ,0.0429 ,2.08473          , 26  
638.imagick_s-824B    ,99.9047            ,0.1537 ,1.29756          , 35  
648.exchange2_s-1227B ,97.8835            ,3.3029 ,1.66641          , 23  
648.exchange2_s-1699B ,98.5674            ,1.9373 ,2.07679          , 22  
649.fotonik3d_s-1B    ,99.8687            ,0.3121 ,1.27476          , 39  
654.roms_s-1021B      ,99.5943            ,0.6587 ,1.60063          , 25  
657.xz_s-56B          ,100%                ,0     ,1.79186          , 22 